Home Team,Home xG,Away xG,Away Team
Arsenal,2.54,1.46,Leicester
Watford,2.22,2.67,Liverpool
West Brom,1.18,0.38,Bournemouth
Southampton,2.22,0.42,Swansea
Chelsea,1.36,0.57,Burnley
Crystal Palace,0.99,1.74,Huddersfield
Everton,0.72,0.28,Stoke
Brighton,0.29,2.26,Man City
Newcastle,0.64,2.34,Tottenham
Man United,2.64,0.63,West Ham
Swansea,0.3,3.69,Man United
Southampton,2.14,1.57,West Ham
Bournemouth,0.33,2.11,Watford
Burnley,1.38,0.65,West Brom
Leicester,1.91,0.12,Brighton
Liverpool,2.85,0.73,Crystal Palace
Stoke,0.69,1.41,Arsenal
Huddersfield,0.27,0.97,Newcastle
Man City,1.14,0.6,Everton
Bournemouth,0.46,1.67,Man City
Crystal Palace,0.82,0.97,Swansea
Newcastle,2.83,0.6,West Ham
Watford,0.31,0.95,Brighton
Huddersfield,1.59,0.8,Southampton
Man United,2.83,0.66,Leicester
Chelsea,1.17,0.32,Everton
West Brom,0.85,0.95,Stoke
Tottenham,2.46,0.79,Burnley
Liverpool,3.6,0.48,Arsenal
Man City,3.15,0.67,Liverpool
Southampton,0.34,0.59,Watford
Leicester,1.35,1.04,Chelsea
Arsenal,2.49,0.6,Bournemouth
Brighton,0.4,0.87,West Brom
Everton,1.15,2.21,Tottenham
Stoke,1.5,2.11,Man United
Burnley,0.43,1.74,Crystal Palace
Swansea,1.49,1.03,Newcastle
West Ham,2.07,0.34,Huddersfield
Bournemouth,1.34,0.88,Brighton
Crystal Palace,2.03,1.12,Southampton
Huddersfield,0.7,1.26,Leicester
Liverpool,2.24,0.36,Burnley
Newcastle,2.76,0.68,Stoke
Watford,0.8,3.92,Man City
West Brom,0.84,0.24,West Ham
Tottenham,1.15,0.15,Swansea
Chelsea,0.8,1.51,Arsenal
Man United,3.29,1.06,Everton
West Ham,0.67,1.52,Tottenham
Stoke,0.6,1.6,Chelsea
Swansea,1.97,1.28,Watford
Southampton,0.82,1.15,Man United
Man City,5.67,0.61,Crystal Palace
Burnley,0.47,0.31,Huddersfield
Everton,2.38,0.38,Bournemouth
Leicester,3.04,1.94,Liverpool
Brighton,0.51,1.37,Newcastle United
Arsenal,2.39,0.77,West Brom
Huddersfield,0.2,1.56,Tottenham
Manchester United,3.48,0.24,Crystal Palace
Stoke,2.68,1.43,Southampton
West Brom,1.94,1.62,Watford
West Ham,0.69,0.18,Swansea
Bournemouth,1.4,0.59,Leicester
Chelsea,0.91,1.23,Manchester City
Arsenal,2.48,0.39,Brighton
Everton,0.93,0.38,Burnley
Newcastle United,0.28,1.64,Liverpool
Liverpool,1.93,0.23,Manchester United
Burnley,0.7,0.84,West Ham
Crystal Palace,1.52,0.65,Chelsea
Manchester City,4.45,0.68,Stoke
Swansea,1.65,0.6,Huddersfield
Tottenham,1.96,0.18,Bournemouth
Watford,1.63,0.99,Arsenal
Brighton,1.06,1.46,Everton
Southampton,1.71,0.95,Newcastle United
Leicester,0.96,0.16,West Bromwich Albion
West Ham,0.57,1.98,Brighton
Huddersfield,1.27,0.81,Manchester United
Manchester City,3.72,0.15,Burnley
Newcastle United,0.27,0.57,Crystal Palace
Stoke,1.6,1.12,Bournemouth
Swansea,0.56,1.81,Leicester
Southampton,2.02,0.5,West Bromwich Albion
Chelsea,1.78,1.8,Watford
Everton,0.81,3.86,Arsenal
Tottenham,2.62,0.67,Liverpool
Manchester United,0.94,1.09,Tottenham
Arsenal,2.38,0.84,Swansea
Crystal Palace,2.92,0.74,West Ham
West Bromwich Albion,1.12,2.77,Manchester City
Watford,1.13,0.78,Stoke
Liverpool,2.14,0.06,Huddersfield
Bournemouth,0.46,1.78,Chelsea
Brighton,1.51,0.54,Southampton
Leicester,1.37,0.58,Everton
Burnley,1.03,0.52,Newcastle United
Stoke,1.23,1.4,Leicester
Huddersfield,0.26,0.38,West Bromwich Albion
Newcastle United,0.68,1.29,Bournemouth
Southampton,0.79,0.14,Burnley
Swansea,1.25,0.87,Brighton
West Ham,1.13,2.88,Liverpool
Tottenham,0.99,1.1,Crystal Palace
Manchester City,2.15,0.34,Arsenal
Chelsea,1.84,0.77,Manchester United
Everton,2.58,2.06,Watford
Arsenal,2.24,0.59,Tottenham
West Bromwich Albion,0.59,1.72,Chelsea
Liverpool,2.06,0.56,Southampton
Burnley,1.54,0.43,Swansea
Crystal Palace,2.03,1.69,Everton
Leicester,0.1,2.4,Manchester City
Bournemouth,1.39,1.16,Huddersfield
Manchester United,2.57,1.09,Newcastle United
Watford,1.25,1.43,West Ham
Brighton,0.49,1.21,Stoke
West Ham,0.78,0.45,Leicester
Tottenham,1.92,0.72,West Bromwich Albion
Swansea,0.88,0.45,Bournemouth
Newcastle United,0.86,2.06,Watford
Manchester United,1.5,0.57,Brighton
Crystal Palace,1.48,0.63,Stoke
Liverpool,1.5,0.74,Chelsea
Southampton,1.97,0.15,Everton
Burnley,0.4,1.75,Arsenal
Huddersfield,0.54,2.66,Manchester City
Leicester,0.92,2.51,Tottenham
Brighton,0.48,0.58,Crystal Palace
Watford,1.29,1.63,Manchester United
West Bromwich Albion,0.85,1.13,Newcastle United
Bournemouth,0.92,1.09,Burnley
Arsenal,4.48,0.48,Huddersfield
Chelsea,2.3,0.04,Swansea
Everton,1.76,1.04,West Ham
Manchester City,1.65,1.71,Southampton
Stoke,0.85,2.59,Liverpool
Chelsea,3.08,0.52,Newcastle United
Everton,0.82,0.22,Huddersfield
Leicester,1.61,0.79,Burnley
Stoke,1.25,0.32,Swansea
Watford,0.35,0.79,Tottenham
West Bromwich Albion,1.65,0.81,Crystal Palace
Brighton,1.66,1.78,Liverpool
Arsenal,4.24,2.07,Manchester United
Bournemouth,1.11,1,Southampton
Manchester City,2.46,0.47,West Ham
West Ham,0.42,1.19,Chelsea
Tottenham,4.02,0.75,Stoke
Swansea,1.01,0.25,West Bromwich Albion
Burnley,0.49,0.82,Watford
Crystal Palace,4.61,0.96,Bournemouth
Huddersfield,2.68,0.27,Brighton
Newcastle United,0.96,0.44,Leicester
Southampton,1.22,0.61,Arsenal
Liverpool,1.9,0.82,Everton
Manchester United,1.44,2.03,Manchester City
Burnley,0.36,0.92,Stoke
Huddersfield,0.48,1.87,Chelsea
Crystal Palace,1.11,1.4,Watford
Swansea,0.59,3.57,Manchester City
Newcastle United,0.57,1.39,Everton
Southampton,1.12,2.25,Leicester
Manchester United,1.24,0.82,Bournemouth
West Ham,0.41,1.02,Arsenal
Liverpool,2.14,0.52,West Bromwich Albion
Tottenham,1.87,0.32,Brighton
Leicester,0.76,2.26,Crystal Palace
Arsenal,2.02,0.29,Newcastle United
Brighton,1.49,1.33,Burnley
Chelsea,1.29,0.59,Southampton
Watford,0.59,3.49,Huddersfield
Stoke,0.98,3.08,West Ham
Manchester City,4.15,0.18,Tottenham
West Bromwich Albion,1.08,0.9,Manchester United
Bournemouth,0.54,3.25,Liverpool
Everton,2.02,0.77,Swansea
Arsenal,1.13,2.06,Liverpool
Everton,0.34,1.85,Chelsea
Swansea,0.55,1.26,Crystal Palace
West Ham,2.32,1.91,Newcastle United
Brighton,1.4,1.3,Watford
Stoke,1.8,2.05,West Bromwich Albion
Southampton,1.74,1.09,Huddersfield
Manchester City,1.56,0.33,Bournemouth
Burnley,0.16,3.31,Tottenham
Leicester,1.56,2.15,Manchester United
Tottenham,3.08,0.59,Southampton
Bournemouth,2.85,1.88,West Ham
Chelsea,2.17,0.45,Brighton
Huddersfield,1.88,1.2,Stoke
Manchester United,1.81,0.79,Burnley
Watford,1.43,1.55,Leicester
West Bromwich Albion,1.18,0.41,Everton
Liverpool,3.06,0.27,Swansea
Newcastle United,0.17,1.93,Manchester City
Crystal Palace,1.15,1.84,Arsenal
Bournemouth,1.4,0.6,Everton
Chelsea,3.1,0.28,Stoke
Huddersfield,0.05,1.21,Burnley
Liverpool,2.57,0.79,Leicester
Newcastle United,0.5,0.63,Brighton
Watford,1.18,1.31,Swansea
Manchester United,1.87,0.85,Southampton
Crystal Palace,1.72,1.1,Manchester City
West Bromwich Albion,1.39,0.92,Arsenal
Brighton,2.37,1.28,Bournemouth
Burnley,0.9,1.63,Liverpool
Leicester,1.45,0.23,Huddersfield
Stoke,1.5,2.02,Newcastle United
Everton,1.24,1.26,Manchester United
West Ham,1.06,0.64,West Bromwich Albion
Southampton,0.45,1.34,Crystal Palace
Swansea,0.4,1.62,Tottenham
Manchester City,2.77,0.97,Watford
Arsenal,1.23,3.08,Chelsea
Tottenham,1.65,0.61,West Ham
Chelsea,0.62,1.36,Leicester
Crystal Palace,1.81,0.91,Burnley
Huddersfield,0.68,0.99,West Ham
Newcastle United,1.83,0.9,Swansea
Watford,1.67,0.86,Southampton
West Bromwich Albion,1.38,0.53,Brighton
Tottenham,4.21,0.29,Everton
Bournemouth,0.82,1.01,Arsenal
Liverpool,1.02,0.72,Manchester City
Manchester United,1.95,1.48,Stoke
Brighton,0.88,1.52,Chelsea
Arsenal,3.57,0.5,Crystal Palace
Burnley,0.57,0.86,Manchester United
Everton,0.92,1.35,West Bromwich Albion
Leicester,1.52,0.74,Watford
Stoke,0.99,0.24,Huddersfield
West Ham,0.98,0.5,Bournemouth
Manchester City,2.55,0.99,Newcastle United
Southampton,1.15,1.31,Tottenham
Swansea,0.5,2.2,Liverpool
West Ham,1.12,1.16,Crystal Palace
Swansea,2.38,1.16,Arsenal
Huddersfield,0.29,2.05,Liverpool
Chelsea,1.15,1.42,Bournemouth
Southampton,1.27,1.08,Brighton
Newcastle United,2.52,1.23,Burnley
Everton,1.53,2.65,Leicester
Manchester City,2.69,0.12,West Bromwich Albion
Tottenham,2.01,0.82,Manchester United
Stoke,0.72,0.74,Watford
Burnley,0.8,2.54,Manchester City
Bournemouth,1.7,0.7,Stoke
Brighton,1.65,0.44,West Ham
Leicester,1.64,0.48,Swansea
Manchester United,1.54,0.13,Huddersfield
West Bromwich Albion,0.9,0.92,Southampton
Arsenal,3.17,1.2,Everton
Crystal Palace,2.93,1.05,Newcastle United
Liverpool,1.31,2.54,Tottenham
Watford,2.13,0.57,Chelsea
Tottenham,2.64,0.49,Arsenal
Everton,1.49,1.66,Crystal Palace
Stoke,1.4,0.9,Brighton
Swansea,0.84,0.43,Burnley
West Ham,1.83,0.8,Watford
Manchester City,2.59,0.11,Leicester
Huddersfield,2.57,0.43,Bournemouth
Newcastle,0.68,1.72,Manchester United
Southampton,0.85,2.36,Liverpool
Chelsea,2.38,0.63,West Bromwich Albion
Leicester,1.12,0.17,Stoke
Bournemouth,1.21,4.24,Newcastle United
Brighton,3.29,0.44,Swansea
West Bromwich Albion,1.5,1.18,Huddersfield
Liverpool,3.92,0.34,West Ham
Burnley,1.28,0.66,Southampton
Watford,0.61,0.67,Everton
Crystal Palace,0.18,1.65,Tottenham
Manchester United,1.3,1.69,Chelsea
Arsenal,1.3,1.93,Manchester City
Burnley,2.34,1.8,Everton
Leicester,2.98,1.4,Bournemouth
Southampton,0.98,0.39,Stoke
Swansea,2.31,0.5,West Ham
Tottenham,1.64,0.14,Huddersfield
Watford,1.24,1.09,West Bromwich Albion
Liverpool,1.57,0.26,Newcastle United
Brighton,1.48,0.8,Arsenal
Manchester City,0.95,0.12,Chelsea
Crystal Palace,0.74,1.25,Manchester United
Manchester United,0.85,0.78,Liverpool
Everton,1.69,0.32,Brighton
Huddersfield,1.39,0,Swansea
Newcastle United,1.36,0.5,Southampton
West Bromwich Albion,0.36,1.87,Leicester
West Ham,0.73,1.42,Burnley
Chelsea,3.88,1.14,Crystal Palace
Arsenal,2.38,1.55,Watford
Bournemouth,1.17,2.53,Tottenham
Stoke,0.16,1.65,Manchester City