Home,Away,HGFT,AGFT
Brazil,Croatia,3,1
Mexico,Cameroon,1,0
Spain,Netherlands,1,5
Chile,Australia,3,1
Colombia,Greece,3,0
Uruguay,Costa Rica,1,3
England,Italy,1,2
Ivory Coast,Japan,2,1
Switzerland,Ecuador,2,1
France,Honduras,3,0
Argentina,Bosnia & Herzegovina,2,1
Germany,Portugal,4,0
Iran,Nigeria,0,0
Ghana,USA,1,2
Belgium,Algeria,2,1
Brazil,Mexico,0,0
Russia,South Korea,1,1
Australia,Netherlands,2,3
Spain,Chile,0,2
Cameroon,Croatia,0,4
Colombia,Ivory Coast,2,1
Uruguay,England,2,1
Japan,Greece,0,0
Italy,Costa Rica,0,1
Switzerland,France,2,5
Honduras,Ecuador,1,2
Argentina,Iran,1,0
Germany,Ghana,2,2
Nigeria,Bosnia & Herzegovina,1,0
Belgium,Russia,1,0
South Korea,Algeria,2,4
USA,Portugal,2,2
Australia,Spain,0,3
Netherlands,Chile,2,0
Cameroon,Brazil,1,4
Croatia,Mexico,1,3
Costa Rica,England,0,0
Italy,Uruguay,0,1
Greece,Ivory Coast,2,1
Japan,Colombia,1,4
Bosnia & Herzegovina,Iran,3,1
Nigeria,Argentina,2,3
Ecuador,France,0,0
Honduras,Switzerland,0,3
Portugal,Ghana,2,1
USA,Germany,0,1
Algeria,Russia,1,1
South Korea,Belgium,0,1
Brazil,Chile,2,1
Colombia,Uruguay,2,0
Netherlands,Mexico,2,1
Costa Rica,Greece,2,1
France,Nigeria,2,0
Germany,Algeria,2,1
Argentina,Switzerland,1,0
Belgium,USA,2,1
France,Germany,0,1
Brazil,Colombia,2,1
Argentina,Belgium,1,0
Netherlands,Costa Rica,1,0
Brazil,Germany,1,7
Netherlands,Argentina,0,1
Brazil,Netherlands,0,3
Germany,Argentina,1,0
USA,Colombia,0,2
Costa Rica,Paraguay,0,0
Haiti,Peru,0,1
Brazil,Ecuador,0,0
Jamaica,Venezuela,0,1
Mexico,Uruguay,3,1
Panama,Bolivia,2,1
Argentina,Chile,2,1
USA,Costa Rica,4,0
Colombia,Paraguay,2,1
Brazil,Haiti,7,1
Ecuador,Peru,2,2
Uruguay,Venezuela,0,1
Mexico,Jamaica,2,0
France,Romania,2,1
Chile,Bolivia,2,1
Argentina,Panama,5,0
Albania,Switzerland,0,1
Wales,Slovakia,2,1
England,Russia,1,1
USA,Paraguay,1,0
Colombia,Costa Rica,2,3
Turkey,Croatia,0,1
Poland,Northern Ireland,1,0
Germany,Ukraine,2,0
Ecuador,Haiti,4,0
Brazil,Peru,0,1
Spain,Czech Republic,1,0
Ireland,Sweden,1,1
Belgium,Italy,0,2
Mexico,Venezuela,1,1
Uruguay,Jamaica,3,0
Austria,Hungary,0,2
Portugal,Iceland,1,1
Chile,Panama,4,2
Argentina,Bolivia,3,0
Russia,Slovakia,1,2
Romania,Switzerland,1,1
France,Albania,2,0
England,Wales,2,1
Ukraine,Northern Ireland,0,2
Germany,Poland,0,0
USA,Ecuador,2,1
Italy,Sweden,1,0
Czech Republic,Croatia,2,2
Spain,Turkey,3,0
Peru,Colombia,0,1
Belgium,Ireland,3,0
Iceland,Hungary,1,1
Portugal,Austria,0,0
Argentina,Venezuela,4,1
Mexico,Chile,0,7
Romania,Albania,0,1
Switzerland,France,0,0
Russia,Wales,0,3
Slovakia,England,0,0
Northern Ireland,Germany,0,1
Ukraine,Poland,0,1
Croatia,Spain,2,1
Czech Republic,Turkey,0,2
USA,Argentina,0,4
Hungary,Portugal,3,3
Iceland,Austria,2,1
Italy,Ireland,0,1
Sweden,Belgium,0,1
Colombia,Chile,0,2
Switzerland,Poland,1,2
Wales,Northern Ireland,1,0
Croatia,Portugal,0,1
USA,Colombia,0,1
France,Ireland,2,1
Germany,Slovakia,3,0
Hungary,Belgium,0,4
Argentina,Chile,0,1
Italy,Spain,2,0
England,Iceland,1,2
Poland,Portugal,1,2
Wales,Belgium,3,1
Germany,Italy,2,1
France,Iceland,5,2
Portugal,Wales,2,0
Germany,France,0,2
Portugal,France,1,0
Gabon,Guinea Bissau,1,1
Burkina Faso,Cameroon,1,1
Algeria,Zimbabwe,2,2
Tunisia,Senegal,0,2
Ivory Coast,Togo,0,0
D.R. Congo,Morocco,1,0
Ghana,Uganda,1,0
Mali,Egypt,0,0
Gabon,Burkina Faso,1,1
Cameroon,Guinea Bissau,2,1
Algeria,Tunisia,1,2
Senegal,Zimbabwe,2,0
Ivory Coast,D.R. Congo,2,2
Morocco,Togo,3,1
Ghana,Mali,1,0
Egypt,Uganda,1,0
Cameroon,Gabon,0,0
Guinea Bissau,Burkina Faso,0,2
Senegal,Algeria,2,2
Zimbabwe,Tunisia,2,4
Morocco,Ivory Coast,1,0
Togo,D.R. Congo,1,3
Egypt,Ghana,1,0
Uganda,Mali,1,1
Burkina Faso,Tunisia,2,0
Senegal,Cameroon,0,1
D.R. Congo,Ghana,1,2
Egypt,Morocco,1,0
Burkina Faso,Egypt,1,2
Cameroon,Ghana,2,0
Burkina Faso,Ghana,1,0
Egypt,Cameroon,1,2
Russia,New Zealand,2,0
Portugal,Mexico,2,2
Cameroon,Chile,0,2
Australia,Germany,2,3
Russia,Portugal,0,1
Mexico,New Zealand,2,1
Cameroon,Australia,1,1
Germany,Chile,1,1
Mexico,Russia,2,1
New Zealand,Portugal,0,4
Chile,Australia,1,1
Germany,Cameroon,3,1
Portugal,Chile,0,1
Germany,Mexico,4,1
Portugal,Mexico,2,1
Chile,Germany,0,1
French Guiana,Canada,2,4
Honduras,Costa Rica,0,1
USA,Panama,1,1
Martinique,Nicaragua,2,0
Curacao,Jamaica,0,2
Mexico,El Salvador,3,1
Costa Rica,Canada,1,1
Honduras,French Guiana,Honduras awarded,
Panama,Nicaragua,2,1
USA,Martinique,3,2
El Salvador,Curacao,2,0
Mexico,Jamaica,0,0
Costa Rica,French Guiana,3,0
Canada,Honduras,0,0
Panama,Martinique,3,0
Nicaragua,USA,0,3
Jamaica,El Salvador,1,1
Curacao,Mexico,0,2
Costa Rica,Panama,1,0
USA,El Salvador,2,0
Jamaica,Canada,2,1
Mexico,Honduras,1,0
Costa Rica,USA,0,2
Mexico,Jamaica,0,1
USA,Jamaica,2,1
Peru,New Zealand,2,0
Australia,Honduras,3,1
Burkina Faso,Cape Verde,4,0
Ireland,Denmark,1,5
Senegal,South Africa,2,1
Italy,Sweden,0,0
Congo,Uganda,1,1
Ghana,Egypt,1,1
Greece,Croatia,0,0
Switzerland,Northern Ireland,0,0
D.R. Congo,Guinea,3,1
Denmark,Ireland,0,0
Gabon,Mali,0,0
Ivory Coast,Morocco,0,2
New Zealand,Peru,0,0
Tunisia,Libya,0,0
Zambia,Cameroon,2,2
Algeria,Nigeria,1,1
Honduras,Australia,0,0
South Africa,Senegal,0,2
Sweden,Italy,1,0
Croatia,Greece,4,1
Northern Ireland,Switzerland,0,1
Brazil,Chile,3,0
Ecuador,Argentina,1,3
Honduras,Mexico,3,2
Panama,Costa Rica,2,1
Paraguay,Venezuela,0,1
Peru,Colombia,1,1
Trinidad & Tobago,USA,2,1
Uruguay,Bolivia,4,2
Australia,Syria,,
Belgium,Cyprus,4,0
Estonia,Bosnia & Herzegovina,1,2
France,Belarus,2,1
Greece,Gibraltar,4,0
Hungary,Faroe Islands,1,0
Latvia,Andorra,4,0
Luxembourg,Bulgaria,1,1
Netherlands,Sweden,2,0
Portugal,Switzerland,2,0
Albania,Italy,0,1
Finland,Turkey,2,2
FYR Macedonia,Liechtenstein,4,0
Iceland,Kosovo,2,0
Israel,Spain,0,1
Moldova,Austria,0,1
Serbia,Georgia,1,0
Ukraine,Croatia,0,2
Wales,Ireland,0,1
Czech Republic,San Marino,5,0
Denmark,Romania,1,1
Egypt,Congo,2,1
Germany,Azerbaijan,5,1
Kazakhstan,Armenia,1,1
Lithuania,England,0,1
Norway,Northern Ireland,1,0
Poland,Montenegro,4,2
Slovakia,Malta,3,0
Slovenia,Scotland,2,2
Andorra,Portugal,0,2
Belarus,Netherlands,1,3
Bosnia & Herzegovina,Belgium,3,4
Bulgaria,France,0,1
Cameroon,Algeria,2,0
Cape Verde,Senegal,0,2
Costa Rica,Honduras,1,1
Cyprus,Greece,1,2
Faroe Islands,Latvia,0,0
Gibraltar,Estonia,0,6
Guinea,Tunisia,1,4
Libya,D.R. Congo,1,2
Mexico,Trinidad & Tobago,3,1
Morocco,Gabon,3,0
Nigeria,Zambia,1,0
South Africa,Burkina Faso,3,1
Sweden,Luxembourg,8,0
Switzerland,Hungary,5,2
Uganda,Ghana,0,0
USA,Panama,4,0
Argentina,Peru,0,0
Austria,Serbia,3,2
Chile,Ecuador,2,1
Colombia,Paraguay,1,2
Croatia,Finland,1,1
Georgia,Wales,0,1
Ireland,Moldova,2,0
Italy,FYR Macedonia,1,1
Kosovo,Ukraine,0,2
Liechtenstein,Israel,0,1
Mali,Ivory Coast,0,0
Spain,Albania,3,0
Turkey,Iceland,0,3
Armenia,Poland,1,6
Azerbaijan,Czech Republic,1,2
Bolivia,Brazil,0,0
England,Slovenia,1,0
Malta,Lithuania,1,1
Montenegro,Denmark,0,1
Northern Ireland,Germany,1,3
Romania,Kazakhstan,3,1
San Marino,Norway,0,8
Scotland,Slovakia,1,0
Syria,Australia,1,1
Venezuela,Uruguay,0,0
Argentina,Venezuela,1,1
Costa Rica,Mexico,1,1
Panama,Trinidad & Tobago,3,0
Paraguay,Uruguay,1,2
Algeria,Zambia,0,1
Australia,Thailand,2,1
Austria,Georgia,1,1
Bolivia,Chile,1,0
Burkina Faso,Senegal,2,2
Colombia,Brazil,1,1
Congo,Ghana,1,5
D.R. Congo,Tunisia,2,2
Ecuador,Peru,1,2
Egypt,Uganda,1,0
FYR Macedonia,Albania,1,1
Honduras,USA,1,1
Iceland,Ukraine,2,0
Iran,Syria,2,2
Iraq,United Arab Emirates,1,0
Ireland,Serbia,0,1
Italy,Israel,1,0
Ivory Coast,Gabon,1,2
Kosovo,Finland,0,1
Liechtenstein,Spain,0,8
Mali,Morocco,0,0
Moldova,Wales,0,2
Qatar,China,1,2
Saudi Arabia,Japan,1,0
Solomon Islands,New Zealand,2,2
South Africa,Cape Verde,1,2
Turkey,Croatia,1,0
Uzbekistan,South Korea,0,0
Armenia,Denmark,1,4
Azerbaijan,San Marino,5,1
Cameroon,Nigeria,1,1
England,Slovakia,2,1
Germany,Norway,6,0
Libya,Guinea,1,0
Montenegro,Romania,1,0
Northern Ireland,Czech Republic,2,0
Poland,Kazakhstan,3,0
Scotland,Malta,2,0
Slovenia,Lithuania,4,0
Belarus,Sweden,0,4
Croatia,Kosovo,1,0
Estonia,Cyprus,1,0
Faroe Islands,Andorra,1,0
France,Luxembourg,0,0
Gibraltar,Bosnia & Herzegovina,0,4
Greece,Belgium,1,2
Hungary,Portugal,0,1
Latvia,Switzerland,0,3
Netherlands,Bulgaria,3,1
Albania,Liechtenstein,2,0
Finland,Iceland,1,0
Gabon,Ivory Coast,0,3
Georgia,Ireland,1,1
Israel,FYR Macedonia,0,1
Mexico,Panama,1,0
Senegal,Burkina Faso,0,0
Serbia,Moldova,3,0
Spain,Italy,3,0
Trinidad & Tobago,Honduras,1,2
Ukraine,Turkey,2,0
Wales,Austria,1,0
Zambia,Algeria,3,1
Brazil,Ecuador,2,0
Cape Verde,South Africa,2,1
Czech Republic,Germany,1,2
Denmark,Poland,4,0
Ghana,Congo,1,1
Kazakhstan,Montenegro,0,3
Lithuania,Scotland,0,3
Malta,England,0,4
Morocco,Mali,6,0
New Zealand,Solomon Islands,6,1
Nigeria,Cameroon,4,0
Norway,Azerbaijan,2,0
Peru,Bolivia,2,1
Romania,Armenia,1,0
San Marino,Northern Ireland,0,3
Slovakia,Slovenia,1,0
Tunisia,D.R. Congo,2,1
Uruguay,Argentina,0,0
USA,Costa Rica,0,2
Belgium,Gibraltar,9,0
Bulgaria,Sweden,3,2
Chile,Paraguay,0,3
China,Uzbekistan,1,0
Cyprus,Bosnia & Herzegovina,3,2
France,Netherlands,4,0
Greece,Estonia,0,0
Guinea,Libya,3,2
Hungary,Latvia,3,1
Japan,Australia,2,0
Luxembourg,Belarus,1,0
Portugal,Faroe Islands,5,1
South Korea,Iran,0,0
Switzerland,Andorra,3,0
Syria,Qatar,3,1
Thailand,Iraq,1,2
Uganda,Egypt,1,0
Venezuela,Colombia,0,0
United Arab Emirates,Saudi Arabia,2,1
Costa Rica,Trinidad & Tobago,2,1
Panama,Honduras,2,2
Iraq,Japan,1,1
Papua New Guinea,Solomon Islands,1,2
Qatar,South Korea,3,2
Syria,China,2,2
Thailand,United Arab Emirates,1,1
Iran,Uzbekistan,2,0
Mexico,USA,1,1
Finland,Ukraine,1,2
FYR Macedonia,Spain,1,2
Iceland,Croatia,1,0
Ireland,Austria,1,1
Israel,Albania,0,3
Italy,Liechtenstein,5,0
Kosovo,Turkey,1,4
Moldova,Georgia,2,2
New Caledonia,Fiji,2,1
Serbia,Wales,1,1
Azerbaijan,Northern Ireland,0,1
Germany,San Marino,7,0
Kazakhstan,Denmark,1,3
Lithuania,Slovakia,1,2
Montenegro,Armenia,4,1
Norway,Czech Republic,1,1
Poland,Romania,3,1
Scotland,England,2,2
Slovenia,Malta,2,0
Andorra,Hungary,1,0
Belarus,Bulgaria,2,1
Bosnia & Herzegovina,Greece,0,0
Costa Rica,Panama,0,0
Estonia,Belgium,0,2
Faroe Islands,Switzerland,0,2
Gibraltar,Cyprus,1,2
Latvia,Portugal,0,3
Mexico,Honduras,3,0
Netherlands,Luxembourg,5,0
Solomon Islands,Papua New Guinea,3,2
Sweden,France,2,1
USA,Trinidad & Tobago,2,0
Australia,Saudi Arabia,3,2
Fiji,New Caledonia,2,2
Brazil,Paraguay,3,0
Panama,USA,1,1
Peru,Uruguay,2,1
Tahiti,Papua New Guinea,1,2
Trinidad & Tobago,Mexico,0,1
Australia,United Arab Emirates,2,0
Bolivia,Argentina,2,0
Chile,Venezuela,3,1
Ecuador,Colombia,0,2
Honduras,Costa Rica,1,1
Iran,China,1,0
Japan,Thailand,4,0
New Zealand,Fiji,2,0
Saudi Arabia,Iraq,1,0
South Korea,Syria,1,0
Uzbekistan,Qatar,1,0
Armenia,Kazakhstan,2,0
Azerbaijan,Germany,1,4
England,Lithuania,2,0
Malta,Slovakia,1,3
Montenegro,Poland,1,2
Northern Ireland,Norway,2,0
Romania,Denmark,0,0
San Marino,Czech Republic,0,6
Scotland,Slovenia,1,0
Andorra,Faroe Islands,0,0
Belgium,Greece,1,1
Bosnia & Herzegovina,Gibraltar,5,0
Bulgaria,Netherlands,2,0
Cyprus,Estonia,0,0
Fiji,New Zealand,0,2
Luxembourg,France,1,3
Mexico,Costa Rica,2,0
Portugal,Hungary,3,0
Sweden,Belarus,4,0
Switzerland,Latvia,1,0
USA,Honduras,6,0
Austria,Moldova,2,0
Croatia,Ukraine,1,0
Georgia,Serbia,1,3
Ireland,Wales,0,0
Italy,Albania,2,0
Kosovo,Iceland,1,2
Liechtenstein,FYR Macedonia,0,3
Spain,Israel,4,1
Trinidad & Tobago,Panama,1,0
Turkey,Finland,2,0
Argentina,Chile,1,0
China,South Korea,1,0
Colombia,Bolivia,1,0
Iraq,Australia,1,1
Papua New Guinea,Tahiti,1,3
Paraguay,Ecuador,2,1
Qatar,Iran,0,1
Syria,Uzbekistan,1,0
Thailand,Saudi Arabia,0,3
United Arab Emirates,Japan,0,2
Uruguay,Brazil,1,4
Venezuela,Peru,2,2
Costa Rica,USA,4,0
Panama,Mexico,0,0
Peru,Brazil,0,2
Argentina,Colombia,3,0
Bolivia,Paraguay,1,0
Chile,Uruguay,3,1
China,Qatar,0,0
Ecuador,Venezuela,3,0
Honduras,Trinidad & Tobago,3,1
Japan,Saudi Arabia,2,1
New Caledonia,New Zealand,0,0
South Korea,Uzbekistan,2,1
Syria,Iran,0,0
Thailand,Australia,2,2
United Arab Emirates,Iraq,2,0
Belgium,Estonia,8,1
Bulgaria,Belarus,1,0
Cyprus,Gibraltar,3,1
Egypt,Ghana,2,0
Greece,Bosnia & Herzegovina,1,1
Guinea,D.R. Congo,1,2
Hungary,Andorra,4,0
Luxembourg,Netherlands,1,3
Portugal,Latvia,4,1
Solomon Islands,Tahiti,1,0
Switzerland,Faroe Islands,2,0
Albania,Israel,0,3
Austria,Ireland,0,1
Cameroon,Zambia,1,1
Cape Verde,Burkina Faso,0,2
Croatia,Iceland,2,0
Georgia,Moldova,1,1
Liechtenstein,Italy,0,4
Mali,Gabon,0,0
Morocco,Ivory Coast,0,0
New Zealand,New Caledonia,2,0
Nigeria,Algeria,3,1
South Africa,Senegal,2,1
Spain,FYR Macedonia,4,0
Turkey,Kosovo,2,0
Uganda,Congo,1,0
Ukraine,Finland,1,0
USA,Mexico,1,2
Wales,Serbia,1,1
